SampleID	TimeWeeks	SamplingWeek	FollowUpWeeks	Event	Sex	Treatment
JP105F7W	11.0	7	4.0	1	M	Tylosin
JP51F7W	20.0	7	13.0	1	M	Control
JP64F7W	24.0	7	17.0	1	F	Control
JP66F7W	30.0	7	23.0	0	F	Control
JP77F7W	24.0	7	17.0	1	M	Control
JP166F7W	30.0	7	23.0	0	F	Control
JP258F7W	30.0	7	23.0	0	M	Control
JP257F7W	30.0	7	23.0	0	M	Control
JP190F7W	30.0	7	23.0	0	M	Control
JP23F7W	16.0	7	9.0	1	F	Tylosin
JP31F7W	21.0	7	14.0	1	M	Tylosin
JP117F7W	13.0	7	6.0	1	F	Tylosin
JP110F7W	10.0	7	3.0	1	M	Tylosin
JP411F7W	15.0	7	8.0	1	F	Tylosin
JP124F7W	30.0	7	23.0	0	F	Tylosin
JP104F7W	12.0	7	5.0	1	F	Tylosin
JP136F7W	19.0	7	12.0	1	F	Tylosin
JP9F7W	30.0	7	23.0	0	F	Tylosin
JP260F7W	21.0	7	14.0	1	M	Control
JP81F7W	30.0	7	23.0	0	F	Control
JP10F7W	30.0	7	23.0	0	F	Tylosin
JP403F7W	30.0	7	23.0	0	M	Tylosin
JP401F7W	18.0	7	11.0	1	M	Tylosin
JP129F7W	30.0	7	23.0	0	M	Tylosin
JP133F7W	17.0	7	10.0	1	F	Tylosin
JP20F7W	30.0	7	23.0	0	F	Tylosin
JP106F7W	26.0	7	19.0	1	M	Tylosin
JP103F7W	24.0	7	17.0	1	M	Tylosin
JP146F7W	14.0	7	7.0	1	F	Tylosin
JP45F7W	30.0	7	23.0	0	M	Tylosin
JP165F7W	30.0	7	23.0	0	F	Control
JP48F7W	12.0	7	5.0	1	M	Tylosin
JP205F7W	19.0	7	12.0	1	F	Tylosin
JP83F7W	30.0	7	23.0	0	M	Control
JP410F7W	13.0	7	6.0	1	F	Tylosin
JP119F7W	29.0	7	22.0	1	M	Tylosin
JP24F7W	14.0	7	7.0	1	F	Tylosin
JP221F7W	30.0	7	23.0	0	F	Tylosin
JP108F7W	30.0	7	23.0	0	M	Tylosin
JP78F7W	29.0	7	22.0	1	M	Control
JP112F7W	30.0	7	23.0	0	F	Tylosin
JP116F7W	30.0	7	23.0	0	M	Tylosin
JP16F7W	22.0	7	15.0	1	M	Tylosin
JP409F7W	30.0	7	23.0	0	F	Tylosin
JP160F7W	30.0	7	23.0	0	F	Control
JP3F7W	30.0	7	23.0	1	M	Tylosin
JP18F7W	17.0	7	10.0	1	M	Tylosin
JP131F7W	30.0	7	23.0	0	F	Tylosin
JP111F7W	21.0	7	14.0	1	M	Tylosin
JP107F7W	13.0	7	6.0	1	M	Tylosin
JP259F7W	30.0	7	23.0	0	M	Control
JP39F7W	16.0	7	9.0	1	F	Tylosin
JP222F7W	21.0	7	14.0	1	F	Tylosin
JP22F7W	30.0	7	23.0	0	M	Tylosin
JP118F7W	20.0	7	13.0	1	M	Tylosin
JP97F7W	12.0	7	5.0	1	F	Control
JP38F7W	15.0	7	8.0	1	F	Tylosin
JP187F7W	27.0	7	20.0	1	F	Control
JP132F7W	16.0	7	9.0	1	F	Tylosin
JP201F7W	13.0	7	6.0	1	F	Tylosin
JP76F7W	16.0	7	9.0	1	F	Control
JP102F7W	30.0	7	23.0	0	F	Tylosin
JP5F7W	20.0	7	13.0	1	F	Tylosin
JP59F7W	27.0	7	20.0	1	M	Control
JP151F7W	20.0	7	13.0	1	M	Control
JP88F7W	16.0	7	9.0	1	F	Control
JP30F7W	15.0	7	8.0	1	M	Tylosin
JP43F7W	23.0	7	16.0	1	M	Tylosin
JP82F7W	30.0	7	23.0	0	M	Control
JP67F7W	22.0	7	15.0	1	M	Control
JP71F7W	17.0	7	10.0	1	F	Control
JP162F7W	17.0	7	10.0	1	F	Control
JP27F7W	25.0	7	18.0	1	M	Tylosin
JP120F7W	20.0	7	13.0	1	M	Tylosin
JP84F7W	30.0	7	23.0	1	M	Control
JP123F7W	14.0	7	7.0	1	F	Tylosin
JP121F7W	19.0	7	12.0	1	M	Tylosin
JP156F7W	20.0	7	13.0	1	F	Control
JP139F7W	25.0	7	18.0	1	F	Tylosin
JP114F7W	15.0	7	8.0	1	M	Tylosin
JP21F7W	18.0	7	11.0	1	F	Tylosin
JP11F7W	20.0	7	13.0	1	F	Tylosin
JP13F7W	24.0	7	17.0	1	M	Tylosin
JP223F7W	30.0	7	23.0	0	F	Tylosin
JP86F7W	11.0	7	4.0	1	F	Control
JP2F7W	18.0	7	11.0	1	M	Tylosin
JP155F7W	27.0	7	20.0	1	F	Control
JP1F7W	25.0	7	18.0	1	M	Tylosin
JP154F7W	18.0	7	11.0	1	M	Control
JP159F7W	16.0	7	9.0	1	F	Control
JP182F7W	30.0	7	23.0	0	M	Control
JP12F7W	19.0	7	12.0	1	F	Tylosin
JP15F7W	16.0	7	9.0	1	F	Tylosin
JP202F7W	23.0	7	16.0	1	F	Tylosin
JP141F7W	30.0	7	23.0	0	F	Tylosin
JP406F7W	21.0	7	14.0	1	F	Tylosin
JP89F7W	20.0	7	13.0	1	F	Control
JP19F7W	20.0	7	13.0	1	M	Tylosin
JP101F7W	21.0	7	14.0	1	M	Tylosin
JP184F7W	21.0	7	14.0	1	F	Control
JP53F7W	19.0	7	12.0	1	F	Control
JP186F7W	30.0	7	23.0	0	F	Control
JP185F7W	25.0	7	18.0	1	M	Control
JP85F7W	20.0	7	13.0	1	M	Control
JP17F7W	22.0	7	15.0	1	M	Tylosin
JP98F7W	20.0	7	13.0	1	F	Control
JP75F7W	30.0	7	23.0	0	M	Control
JP33F7W	28.0	7	21.0	1	M	Tylosin
JP25F7W	17.0	7	10.0	1	F	Tylosin
JP163F7W	13.0	7	6.0	1	F	Control
JP169F7W	28.0	7	21.0	1	F	Control
JP74F7W	30.0	7	23.0	0	F	Control
JP55F7W	12.0	7	5.0	1	F	Control
JP130F7W	16.0	7	9.0	1	F	Tylosin
JP183F7W	18.0	7	11.0	1	M	Control
JP58F7W	30.0	7	23.0	0	F	Control
JP170F7W	30.0	7	23.0	0	M	Control
JP4F7W	17.0	7	10.0	1	M	Tylosin
JP44F7W	26.0	7	19.0	1	M	Tylosin
JP72F7W	24.0	7	17.0	1	F	Control
JP224F7W	11.0	7	4.0	1	F	Tylosin
JP79F7W	29.0	7	22.0	1	M	Control
JP152F7W	21.0	7	14.0	1	M	Control
JP137F7W	14.0	7	7.0	1	F	Tylosin
JP87F7W	16.0	7	9.0	1	F	Control
JP153F7W	13.0	7	6.0	1	F	Control
JP29F7W	30.0	7	23.0	0	M	Tylosin
JP99F7W	14.0	7	7.0	1	F	Control
JP172F7W	30.0	7	23.0	0	F	Control
JP157F7W	30.0	7	23.0	0	F	Control
JP138F7W	30.0	7	23.0	0	F	Tylosin
JP63F7W	20.0	7	13.0	1	F	Control
JP173F7W	30.0	7	23.0	0	F	Control
JP191F7W	30.0	7	23.0	0	F	Control
JP253F7W	30.0	7	23.0	0	M	Control
JP52F7W	19.0	7	12.0	1	F	Control
JP6F7W	21.0	7	14.0	1	M	Tylosin
JP206F7W	17.0	7	10.0	1	F	Tylosin
JP158F7W	30.0	7	23.0	0	M	Control
JP70F7W	17.0	7	10.0	1	F	Control
JP181F7W	28.0	7	21.0	1	M	Control
JP192F7W	14.0	7	7.0	1	F	Control
JP56F7W	15.0	7	8.0	1	F	Control
JP57F7W	17.0	7	10.0	1	M	Control
JP54F7W	16.0	7	9.0	1	F	Control
JP174F7W	21.0	7	14.0	1	F	Control
JP60F7W	30.0	7	23.0	0	F	Control
JP73F7W	30.0	7	23.0	0	F	Control
JP177F7W	30.0	7	23.0	0	F	Control
JP62F7W	14.0	7	7.0	1	F	Control
JP179F7W	25.0	7	18.0	1	M	Control
JP189F7W	30.0	7	23.0	0	M	Control
JP188F7W	30.0	7	23.0	0	M	Control
JP69F7W	30.0	7	23.0	0	M	Control
161FW6	30.0	6	24.0	0	M	Control
454FW6	25.0	6	19.0	1	F	Control
455FW6	15.0	6	9.0	1	F	Control
451FW8	30.0	8	22.0	0	M	Control
109FW7	10.0	7	3.0	1	M	Tylosin
113FW7	16.0	7	9.0	1	M	Tylosin
8FW6	15.0	6	9.0	1	M	Tylosin
402F7W	11.0	7	4.0	1	M	Tylosin
198FW7	30.0	7	23.0	0	M	Control
145F7W	17.0	7	10.0	1	F	Tylosin
454FW8	25.0	8	17.0	1	F	Control
199FW7	30.0	7	23.0	0	M	Control
171FW6	28.0	6	22.0	1	M	Control
144F7W	18.0	7	11.0	1	F	Tylosin
164FW6	30.0	6	24.0	0	M	Control
65FW7	30.0	7	23.0	0	M	Control
68FW7	17.0	7	10.0	1	M	Control
200FW7	30.0	7	23.0	0	M	Control
455FW8	15.0	8	7.0	1	F	Control
